day_of_experiment,colony,colony_ID,dose,date,fourth_larvae
0,CTL,CTL1,0,01/02/2024,0
1,CTL,CTL1,0,02/02/2024,0
4,CTL,CTL1,0,05/02/2024,0
8,CTL,CTL1,0,09/02/2024,0
11,CTL,CTL1,0,12/02/2024,0
15,CTL,CTL1,0,16/02/2024,1
18,CTL,CTL1,0,19/02/2024,1
22,CTL,CTL1,0,23/03/2024,1
25,CTL,CTL1,0,26/02/2024,1
29,CTL,CTL1,0,30-02-2024,1
0,CTL,CTL2,0,01/02/2024,0
1,CTL,CTL2,0,02/02/2024,0
4,CTL,CTL2,0,05/02/2024,0
8,CTL,CTL2,0,09/02/2024,0
11,CTL,CTL2,0,12/02/2024,0
15,CTL,CTL2,0,16/02/2024,1
18,CTL,CTL2,0,19/02/2024,1
22,CTL,CTL2,0,23/03/2024,1
25,CTL,CTL2,0,26/02/2024,1
29,CTL,CTL2,0,30-02-2024,1
0,CTL,CTL3,0,01/02/2024,0
1,CTL,CTL3,0,02/02/2024,0
4,CTL,CTL3,0,05/02/2024,0
8,CTL,CTL3,0,09/02/2024,0
11,CTL,CTL3,0,12/02/2024,0
15,CTL,CTL3,0,16/02/2024,0
18,CTL,CTL3,0,19/02/2024,1
22,CTL,CTL3,0,23/03/2024,1
25,CTL,CTL3,0,26/02/2024,1
29,CTL,CTL3,0,30-02-2024,1
0,CTL,CTL4,0,01/02/2024,0
1,CTL,CTL4,0,02/02/2024,0
4,CTL,CTL4,0,05/02/2024,0
8,CTL,CTL4,0,09/02/2024,0
11,CTL,CTL4,0,12/02/2024,0
15,CTL,CTL4,0,16/02/2024,0
18,CTL,CTL4,0,19/02/2024,1
22,CTL,CTL4,0,23/03/2024,1
25,CTL,CTL4,0,26/02/2024,1
29,CTL,CTL4,0,30-02-2024,1
0,CTL,CTL5,0,01/02/2024,0
1,CTL,CTL5,0,02/02/2024,0
4,CTL,CTL5,0,05/02/2024,0
8,CTL,CTL5,0,09/02/2024,0
11,CTL,CTL5,0,12/02/2024,0
15,CTL,CTL5,0,16/02/2024,0
18,CTL,CTL5,0,19/02/2024,0
22,CTL,CTL5,0,23/03/2024,1
25,CTL,CTL5,0,26/02/2024,1
29,CTL,CTL5,0,30-02-2024,1
0,CTL,CTL6,0,01/02/2024,0
1,CTL,CTL6,0,02/02/2024,0
4,CTL,CTL6,0,05/02/2024,0
8,CTL,CTL6,0,09/02/2024,0
11,CTL,CTL6,0,12/02/2024,0
15,CTL,CTL6,0,16/02/2024,1
18,CTL,CTL6,0,19/02/2024,1
22,CTL,CTL6,0,23/03/2024,1
25,CTL,CTL6,0,26/02/2024,1
29,CTL,CTL6,0,30-02-2024,1
0,CTL,CTL7,0,01/02/2024,0
1,CTL,CTL7,0,02/02/2024,0
4,CTL,CTL7,0,05/02/2024,0
8,CTL,CTL7,0,09/02/2024,0
11,CTL,CTL7,0,12/02/2024,0
15,CTL,CTL7,0,16/02/2024,1
18,CTL,CTL7,0,19/02/2024,1
22,CTL,CTL7,0,23/03/2024,1
25,CTL,CTL7,0,26/02/2024,1
29,CTL,CTL7,0,30-02-2024,1
0,CTL,CTL8,0,01/02/2024,0
1,CTL,CTL8,0,02/02/2024,0
4,CTL,CTL8,0,05/02/2024,0
8,CTL,CTL8,0,09/02/2024,0
11,CTL,CTL8,0,12/02/2024,0
15,CTL,CTL8,0,16/02/2024,0
18,CTL,CTL8,0,19/02/2024,1
22,CTL,CTL8,0,23/03/2024,1
25,CTL,CTL8,0,26/02/2024,1
29,CTL,CTL8,0,30-02-2024,1
0,CTL,CTL9,0,01/02/2024,0
1,CTL,CTL9,0,02/02/2024,0
4,CTL,CTL9,0,05/02/2024,0
8,CTL,CTL9,0,09/02/2024,0
11,CTL,CTL9,0,12/02/2024,0
15,CTL,CTL9,0,16/02/2024,0
18,CTL,CTL9,0,19/02/2024,0
22,CTL,CTL9,0,23/03/2024,0
25,CTL,CTL9,0,26/02/2024,1
29,CTL,CTL9,0,30-02-2024,1
0,CTL,CTL10,0,01/02/2024,0
1,CTL,CTL10,0,02/02/2024,0
4,CTL,CTL10,0,05/02/2024,0
8,CTL,CTL10,0,09/02/2024,0
11,CTL,CTL10,0,12/02/2024,0
15,CTL,CTL10,0,16/02/2024,0
18,CTL,CTL10,0,19/02/2024,0
22,CTL,CTL10,0,23/03/2024,1
25,CTL,CTL10,0,26/02/2024,1
29,CTL,CTL10,0,30-02-2024,1
0,CTL,CTL11,0,01/02/2024,0
1,CTL,CTL11,0,02/02/2024,0
4,CTL,CTL11,0,05/02/2024,0
8,CTL,CTL11,0,09/02/2024,0
11,CTL,CTL11,0,12/02/2024,0
15,CTL,CTL11,0,16/02/2024,1
18,CTL,CTL11,0,19/02/2024,1
22,CTL,CTL11,0,23/03/2024,1
25,CTL,CTL11,0,26/02/2024,1
29,CTL,CTL11,0,30-02-2024,1
0,CTL,CTL12,0,01/02/2024,0
1,CTL,CTL12,0,02/02/2024,0
4,CTL,CTL12,0,05/02/2024,0
8,CTL,CTL12,0,09/02/2024,0
11,CTL,CTL12,0,12/02/2024,0
15,CTL,CTL12,0,16/02/2024,0
18,CTL,CTL12,0,19/02/2024,0
22,CTL,CTL12,0,23/03/2024,0
25,CTL,CTL12,0,26/02/2024,1
29,CTL,CTL12,0,30-02-2024,1
0,CTL,CTL13,0,01/02/2024,0
1,CTL,CTL13,0,02/02/2024,0
4,CTL,CTL13,0,05/02/2024,0
8,CTL,CTL13,0,09/02/2024,0
11,CTL,CTL13,0,12/02/2024,0
15,CTL,CTL13,0,16/02/2024,1
18,CTL,CTL13,0,19/02/2024,1
22,CTL,CTL13,0,23/03/2024,1
25,CTL,CTL13,0,26/02/2024,1
29,CTL,CTL13,0,30-02-2024,1
0,CTL,CTL14,0,01/02/2024,0
1,CTL,CTL14,0,02/02/2024,0
4,CTL,CTL14,0,05/02/2024,0
8,CTL,CTL14,0,09/02/2024,0
11,CTL,CTL14,0,12/02/2024,0
15,CTL,CTL14,0,16/02/2024,1
18,CTL,CTL14,0,19/02/2024,1
22,CTL,CTL14,0,23/03/2024,1
25,CTL,CTL14,0,26/02/2024,1
29,CTL,CTL14,0,30-02-2024,1
0,TMX,TMX1,0,01/02/2024,0
1,TMX,TMX1,0.00321,02/02/2024,0
4,TMX,TMX1,0.00321,05/02/2024,0
8,TMX,TMX1,0.00321,09/02/2024,0
11,TMX,TMX1,0.00321,12/02/2024,0
15,TMX,TMX1,0.00321,16/02/2024,0
18,TMX,TMX1,0.00321,19/02/2024,1
22,TMX,TMX1,0.00321,23/03/2024,1
25,TMX,TMX1,0.00321,26/02/2024,1
29,TMX,TMX1,0.00321,30-02-2024,1
0,TMX,TMX2,0,01/02/2024,0
1,TMX,TMX2,0.00321,02/02/2024,0
4,TMX,TMX2,0.00321,05/02/2024,0
8,TMX,TMX2,0.00321,09/02/2024,0
11,TMX,TMX2,0.00321,12/02/2024,0
15,TMX,TMX2,0.00321,16/02/2024,0
18,TMX,TMX2,0.00321,19/02/2024,0
22,TMX,TMX2,0.00321,23/03/2024,1
25,TMX,TMX2,0.00321,26/02/2024,1
29,TMX,TMX2,0.00321,30-02-2024,1
0,TMX,TMX3,0,01/02/2024,0
1,TMX,TMX3,0.00321,02/02/2024,0
4,TMX,TMX3,0.00321,05/02/2024,0
8,TMX,TMX3,0.00321,09/02/2024,0
11,TMX,TMX3,0.00321,12/02/2024,0
15,TMX,TMX3,0.00321,16/02/2024,0
18,TMX,TMX3,0.00321,19/02/2024,1
22,TMX,TMX3,0.00321,23/03/2024,1
25,TMX,TMX3,0.00321,26/02/2024,1
29,TMX,TMX3,0.00321,30-02-2024,1
0,TMX,TMX4,0,01/02/2024,0
1,TMX,TMX4,0.00321,02/02/2024,0
4,TMX,TMX4,0.00321,05/02/2024,0
8,TMX,TMX4,0.00321,09/02/2024,0
11,TMX,TMX4,0.00321,12/02/2024,0
15,TMX,TMX4,0.00321,16/02/2024,0
18,TMX,TMX4,0.00321,19/02/2024,1
22,TMX,TMX4,0.00321,23/03/2024,1
25,TMX,TMX4,0.00321,26/02/2024,1
29,TMX,TMX4,0.00321,30-02-2024,1
0,TMX,TMX5,0,01/02/2024,0
1,TMX,TMX5,0.00321,02/02/2024,0
4,TMX,TMX5,0.00321,05/02/2024,0
8,TMX,TMX5,0.00321,09/02/2024,0
11,TMX,TMX5,0.00321,12/02/2024,0
15,TMX,TMX5,0.00321,16/02/2024,0
18,TMX,TMX5,0.00321,19/02/2024,0
22,TMX,TMX5,0.00321,23/03/2024,1
25,TMX,TMX5,0.00321,26/02/2024,1
29,TMX,TMX5,0.00321,30-02-2024,1
0,TMX,TMX6,0,01/02/2024,0
1,TMX,TMX6,0.00321,02/02/2024,0
4,TMX,TMX6,0.00321,05/02/2024,0
8,TMX,TMX6,0.00321,09/02/2024,0
11,TMX,TMX6,0.00321,12/02/2024,0
15,TMX,TMX6,0.00321,16/02/2024,0
18,TMX,TMX6,0.00321,19/02/2024,1
22,TMX,TMX6,0.00321,23/03/2024,1
25,TMX,TMX6,0.00321,26/02/2024,1
29,TMX,TMX6,0.00321,30-02-2024,1
0,TMX,TMX7,0,01/02/2024,0
1,TMX,TMX7,0.00321,02/02/2024,0
4,TMX,TMX7,0.00321,05/02/2024,0
8,TMX,TMX7,0.00321,09/02/2024,0
11,TMX,TMX7,0.00321,12/02/2024,0
15,TMX,TMX7,0.00321,16/02/2024,0
18,TMX,TMX7,0.00321,19/02/2024,0
22,TMX,TMX7,0.00321,23/03/2024,1
25,TMX,TMX7,0.00321,26/02/2024,1
29,TMX,TMX7,0.00321,30-02-2024,1
0,TMX,TMX8,0,01/02/2024,0
1,TMX,TMX8,0.00321,02/02/2024,0
4,TMX,TMX8,0.00321,05/02/2024,0
8,TMX,TMX8,0.00321,09/02/2024,0
11,TMX,TMX8,0.00321,12/02/2024,0
15,TMX,TMX8,0.00321,16/02/2024,0
18,TMX,TMX8,0.00321,19/02/2024,1
22,TMX,TMX8,0.00321,23/03/2024,1
25,TMX,TMX8,0.00321,26/02/2024,1
29,TMX,TMX8,0.00321,30-02-2024,1
0,TMX,TMX9,0,01/02/2024,0
1,TMX,TMX9,0.00321,02/02/2024,0
4,TMX,TMX9,0.00321,05/02/2024,0
8,TMX,TMX9,0.00321,09/02/2024,0
11,TMX,TMX9,0.00321,12/02/2024,0
15,TMX,TMX9,0.00321,16/02/2024,0
18,TMX,TMX9,0.00321,19/02/2024,0
22,TMX,TMX9,0.00321,23/03/2024,1
25,TMX,TMX9,0.00321,26/02/2024,1
29,TMX,TMX9,0.00321,30-02-2024,1
0,TMX,TMX10,0,01/02/2024,0
1,TMX,TMX10,0.00321,02/02/2024,0
4,TMX,TMX10,0.00321,05/02/2024,0
8,TMX,TMX10,0.00321,09/02/2024,0
11,TMX,TMX10,0.00321,12/02/2024,0
15,TMX,TMX10,0.00321,16/02/2024,0
18,TMX,TMX10,0.00321,19/02/2024,0
22,TMX,TMX10,0.00321,23/03/2024,1
25,TMX,TMX10,0.00321,26/02/2024,1
29,TMX,TMX10,0.00321,30-02-2024,1
0,SLF,SLF1,0,01/02/2024,0
1,SLF,SLF1,0.06355,02/02/2024,0
4,SLF,SLF1,0.06355,05/02/2024,0
8,SLF,SLF1,0.06355,09/02/2024,0
11,SLF,SLF1,0.06355,12/02/2024,0
15,SLF,SLF1,0.06355,16/02/2024,0
18,SLF,SLF1,0.06355,19/02/2024,0
22,SLF,SLF1,0.06355,23/03/2024,1
25,SLF,SLF1,0.06355,26/02/2024,1
29,SLF,SLF1,0.06355,30-02-2024,1
0,SLF,SLF2,0,01/02/2024,0
1,SLF,SLF2,0.06355,02/02/2024,0
4,SLF,SLF2,0.06355,05/02/2024,0
8,SLF,SLF2,0.06355,09/02/2024,0
11,SLF,SLF2,0.06355,12/02/2024,0
15,SLF,SLF2,0.06355,16/02/2024,0
18,SLF,SLF2,0.06355,19/02/2024,1
22,SLF,SLF2,0.06355,23/03/2024,1
25,SLF,SLF2,0.06355,26/02/2024,1
29,SLF,SLF2,0.06355,30-02-2024,1
0,SLF,SLF3,0,01/02/2024,0
1,SLF,SLF3,0.06355,02/02/2024,0
4,SLF,SLF3,0.06355,05/02/2024,0
8,SLF,SLF3,0.06355,09/02/2024,0
11,SLF,SLF3,0.06355,12/02/2024,0
15,SLF,SLF3,0.06355,16/02/2024,0
18,SLF,SLF3,0.06355,19/02/2024,0
22,SLF,SLF3,0.06355,23/03/2024,0
25,SLF,SLF3,0.06355,26/02/2024,1
29,SLF,SLF3,0.06355,30-02-2024,1
0,SLF,SLF4,0,01/02/2024,0
1,SLF,SLF4,0.06355,02/02/2024,0
4,SLF,SLF4,0.06355,05/02/2024,0
8,SLF,SLF4,0.06355,09/02/2024,0
11,SLF,SLF4,0.06355,12/02/2024,0
15,SLF,SLF4,0.06355,16/02/2024,1
18,SLF,SLF4,0.06355,19/02/2024,1
22,SLF,SLF4,0.06355,23/03/2024,1
25,SLF,SLF4,0.06355,26/02/2024,1
29,SLF,SLF4,0.06355,30-02-2024,1
0,SLF,SLF5,0,01/02/2024,0
1,SLF,SLF5,0.06355,02/02/2024,0
4,SLF,SLF5,0.06355,05/02/2024,0
8,SLF,SLF5,0.06355,09/02/2024,0
11,SLF,SLF5,0.06355,12/02/2024,0
15,SLF,SLF5,0.06355,16/02/2024,0
18,SLF,SLF5,0.06355,19/02/2024,1
22,SLF,SLF5,0.06355,23/03/2024,1
25,SLF,SLF5,0.06355,26/02/2024,1
29,SLF,SLF5,0.06355,30-02-2024,1
0,SLF,SLF6,0,01/02/2024,0
1,SLF,SLF6,0.06355,02/02/2024,0
4,SLF,SLF6,0.06355,05/02/2024,0
8,SLF,SLF6,0.06355,09/02/2024,0
11,SLF,SLF6,0.06355,12/02/2024,0
15,SLF,SLF6,0.06355,16/02/2024,0
18,SLF,SLF6,0.06355,19/02/2024,0
22,SLF,SLF6,0.06355,23/03/2024,0
25,SLF,SLF6,0.06355,26/02/2024,0
29,SLF,SLF6,0.06355,30-02-2024,1
0,SLF,SLF7,0,01/02/2024,0
1,SLF,SLF7,0.06355,02/02/2024,0
4,SLF,SLF7,0.06355,05/02/2024,0
8,SLF,SLF7,0.06355,09/02/2024,0
11,SLF,SLF7,0.06355,12/02/2024,0
15,SLF,SLF7,0.06355,16/02/2024,0
18,SLF,SLF7,0.06355,19/02/2024,0
22,SLF,SLF7,0.06355,23/03/2024,1
25,SLF,SLF7,0.06355,26/02/2024,1
29,SLF,SLF7,0.06355,30-02-2024,1
0,SLF,SLF8,0,01/02/2024,0
1,SLF,SLF8,0.06355,02/02/2024,0
4,SLF,SLF8,0.06355,05/02/2024,0
8,SLF,SLF8,0.06355,09/02/2024,0
11,SLF,SLF8,0.06355,12/02/2024,0
15,SLF,SLF8,0.06355,16/02/2024,0
18,SLF,SLF8,0.06355,19/02/2024,0
22,SLF,SLF8,0.06355,23/03/2024,1
25,SLF,SLF8,0.06355,26/02/2024,1
29,SLF,SLF8,0.06355,30-02-2024,1
0,FLU,FLU1,0,01/02/2024,0
1,FLU,FLU1,9.1825,02/02/2024,0
4,FLU,FLU1,9.1825,05/02/2024,0
8,FLU,FLU1,9.1825,09/02/2024,0
11,FLU,FLU1,9.1825,12/02/2024,0
15,FLU,FLU1,9.1825,16/02/2024,0
18,FLU,FLU1,9.1825,19/02/2024,0
22,FLU,FLU1,9.1825,23/03/2024,0
25,FLU,FLU1,9.1825,26/02/2024,0
29,FLU,FLU1,9.1825,30-02-2024,1
0,FLU,FLU2,0,01/02/2024,0
1,FLU,FLU2,9.1825,02/02/2024,0
4,FLU,FLU2,9.1825,05/02/2024,0
8,FLU,FLU2,9.1825,09/02/2024,0
11,FLU,FLU2,9.1825,12/02/2024,0
15,FLU,FLU2,9.1825,16/02/2024,0
18,FLU,FLU2,9.1825,19/02/2024,0
22,FLU,FLU2,9.1825,23/03/2024,0
25,FLU,FLU2,9.1825,26/02/2024,0
29,FLU,FLU2,9.1825,30-02-2024,1
0,FLU,FLU3,0,01/02/2024,0
1,FLU,FLU3,9.1825,02/02/2024,0
4,FLU,FLU3,9.1825,05/02/2024,0
8,FLU,FLU3,9.1825,09/02/2024,0
11,FLU,FLU3,9.1825,12/02/2024,0
15,FLU,FLU3,9.1825,16/02/2024,0
18,FLU,FLU3,9.1825,19/02/2024,0
22,FLU,FLU3,9.1825,23/03/2024,0
25,FLU,FLU3,9.1825,26/02/2024,0
29,FLU,FLU3,9.1825,30-02-2024,0
0,FLU,FLU4,0,01/02/2024,0
1,FLU,FLU4,9.1825,02/02/2024,0
4,FLU,FLU4,9.1825,05/02/2024,0
8,FLU,FLU4,9.1825,09/02/2024,0
11,FLU,FLU4,9.1825,12/02/2024,0
15,FLU,FLU4,9.1825,16/02/2024,0
18,FLU,FLU4,9.1825,19/02/2024,0
22,FLU,FLU4,9.1825,23/03/2024,1
25,FLU,FLU4,9.1825,26/02/2024,1
29,FLU,FLU4,9.1825,30-02-2024,1
0,FLU,FLU5,0,01/02/2024,0
1,FLU,FLU5,9.1825,02/02/2024,0
4,FLU,FLU5,9.1825,05/02/2024,0
8,FLU,FLU5,9.1825,09/02/2024,0
11,FLU,FLU5,9.1825,12/02/2024,0
15,FLU,FLU5,9.1825,16/02/2024,0
18,FLU,FLU5,9.1825,19/02/2024,0
22,FLU,FLU5,9.1825,23/03/2024,0
25,FLU,FLU5,9.1825,26/02/2024,1
29,FLU,FLU5,9.1825,30-02-2024,1
0,FLU,FLU6,0,01/02/2024,0
1,FLU,FLU6,9.1825,02/02/2024,0
4,FLU,FLU6,9.1825,05/02/2024,0
8,FLU,FLU6,9.1825,09/02/2024,0
11,FLU,FLU6,9.1825,12/02/2024,0
15,FLU,FLU6,9.1825,16/02/2024,0
18,FLU,FLU6,9.1825,19/02/2024,0
22,FLU,FLU6,9.1825,23/03/2024,1
25,FLU,FLU6,9.1825,26/02/2024,1
29,FLU,FLU6,9.1825,30-02-2024,1
0,FLU,FLU7,0,01/02/2024,0
1,FLU,FLU7,9.1825,02/02/2024,0
4,FLU,FLU7,9.1825,05/02/2024,0
8,FLU,FLU7,9.1825,09/02/2024,0
11,FLU,FLU7,9.1825,12/02/2024,0
15,FLU,FLU7,9.1825,16/02/2024,0
18,FLU,FLU7,9.1825,19/02/2024,0
22,FLU,FLU7,9.1825,23/03/2024,1
25,FLU,FLU7,9.1825,26/02/2024,1
29,FLU,FLU7,9.1825,30-02-2024,1
0,FLU,FLU8,0,01/02/2024,0
1,FLU,FLU8,9.1825,02/02/2024,0
4,FLU,FLU8,9.1825,05/02/2024,0
8,FLU,FLU8,9.1825,09/02/2024,0
11,FLU,FLU8,9.1825,12/02/2024,0
15,FLU,FLU8,9.1825,16/02/2024,0
18,FLU,FLU8,9.1825,19/02/2024,0
22,FLU,FLU8,9.1825,23/03/2024,1
25,FLU,FLU8,9.1825,26/02/2024,1
29,FLU,FLU8,9.1825,30-02-2024,1
0,FLU,FLU9,0,01/02/2024,0
1,FLU,FLU9,9.1825,02/02/2024,0
4,FLU,FLU9,9.1825,05/02/2024,0
8,FLU,FLU9,9.1825,09/02/2024,0
11,FLU,FLU9,9.1825,12/02/2024,0
15,FLU,FLU9,9.1825,16/02/2024,0
18,FLU,FLU9,9.1825,19/02/2024,0
22,FLU,FLU9,9.1825,23/03/2024,1
25,FLU,FLU9,9.1825,26/02/2024,1
29,FLU,FLU9,9.1825,30-02-2024,1
0,FLU,FLU10,0,01/02/2024,0
1,FLU,FLU10,9.1825,02/02/2024,0
4,FLU,FLU10,9.1825,05/02/2024,0
8,FLU,FLU10,9.1825,09/02/2024,0
11,FLU,FLU10,9.1825,12/02/2024,0
15,FLU,FLU10,9.1825,16/02/2024,0
18,FLU,FLU10,9.1825,19/02/2024,0
22,FLU,FLU10,9.1825,23/03/2024,0
25,FLU,FLU10,9.1825,26/02/2024,1
29,FLU,FLU10,9.1825,30-02-2024,1
